Name,Year,Rating
Punch-Drunk Love,2002,3.5
Holy Motors,2012,4.5
The Witch,2015,4
Spider-Man: No Way Home,2021,2
Manchester by the Sea,2016,4
Iron Man 2,2010,2.5
Shang-Chi and the Legend of the Ten Rings,2021,2
There Will Be Blood,2007,5
Batman,1989,4
Freaks,1932,4.5
Hot Fuzz,2007,4
John Wick,2014,3
Nightmare Alley,2021,4
Edward Scissorhands,1990,4.5
Meet the Parents,2000,3
The French Connection,1971,4
Jaws,1975,4.5
Top Gun,1986,3
A Special Day,1977,4.5
Alien,1979,4.5
The Hitchhiker's Guide to the Galaxy,2005,4
The Dark Knight Rises,2012,2
Batman Begins,2005,3
The Batman,2022,3.5
Guardians of the Galaxy,2014,4
Bicycle Thieves,1948,4.5
Point Break,1991,4
Sunset Boulevard,1950,5
Amarcord,1973,5
Dial M for Murder,1954,4.5
The Northman,2022,4
Doctor Strange in the Multiverse of Madness,2022,3
Eternals,2021,3.5
Joker,2019,4
Jurassic Park,1993,3.5
Ready Player One,2018,3.5
Avengers: Age of Ultron,2015,2
Maps to the Stars,2014,4
Taxi Driver,1976,4.5
Raging Bull,1980,5
The King of Comedy,1982,5
Ant-Man,2015,2.5
Grave of the Fireflies,1988,4.5
Irrational Man,2015,3
Captain America: Civil War,2016,2
For a Few Dollars More,1965,5
Doctor Strange,2016,2.5
After Hours,1985,4.5
Guardians of the Galaxy Vol. 2,2017,4
Fargo,1996,4.5
Carnage,2011,4
Spider-Man: Homecoming,2017,1.5
Aladdin,2019,1
The Evil Dead,1981,5
The Shape of Water,2017,4
Thor: Ragnarok,2017,2
Ex Machina,2015,4
Pusher 3,2005,3
Memories of Murder,2003,4.5
The House That Jack Built,2018,5
I Am Legend,2007,2.5
Crimes of the Future,2022,5
Fellini's Casanova,1976,5
Spider-Man: Into the Spider-Verse,2018,4
Nope,2022,4
Hustle,2022,2.5
Dressed to Kill,1980,5
Divorce Italian Style,1961,5
Over Her Dead Body,2008,1
Despicable Me 2,2013,1
Marriage Italian Style,1964,4
Divergent,2014,1.5
Beauty & the Briefcase,2010,1.5
Night at the Museum,2006,3
The Handmaiden,2016,4.5
Avatar,2009,4
Avatar: The Way of Water,2022,4.5
10 Things I Hate About You,1999,2
Pi,1998,5
The Snow Queen,1957,4.5
City of Women,1980,4.5
Babylon,2022,4
A Drama of Jealousy (and Other Things),1970,4.5
"Yesterday, Today and Tomorrow",1963,2.5
Apocalypse Now,1979,4.5
The 10th Victim,1965,3.5
The Whale,2022,4
Young Frankenstein,1974,4.5
Creed III,2023,1.5
Frankenstein,1931,5
Akira,1988,4
Noise,2023,1
Dungeons & Dragons: Honor Among Thieves,2023,3
Notorious,1946,4.5
Superman,1978,4
Midsommar,2019,4.5
Beau Is Afraid,2023,4.5
Double Indemnity,1944,4.5
Guardians of the Galaxy Vol. 3,2023,4
Drive My Car,2021,4.5
La Haine,1995,5
I Killed My Mother,2009,3
Decision to Leave,2022,5
Kidnapped,2023,3.5
The Little Mermaid,2023,2.5
"Sherlock, Jr.",1924,5
The Fabelmans,2022,4.5
Heartbeats,2010,4
Spider-Man: Across the Spider-Verse,2023,5
Laurence Anyways,2012,4
Indiana Jones and the Dial of Destiny,2023,2.5
Tom at the Farm,2013,3.5
Elemental,2023,3
Ponyo,2008,4.5
Deep Red,1975,4.5
Kiki's Delivery Service,1989,3.5
Escape from New York,1981,5
Winter Light,1963,4.5
The Addiction,1995,4.5
The Lord of the Rings: The Two Towers,2002,4
Scarface,1983,4
And the Ship Sails On,1983,4.5
Barbie,2023,2
The Lord of the Rings: The Return of the King,2003,4.5
Dark Star,1974,3.5
Castle in the Sky,1986,4
Ennio,2021,4
My Neighbor Totoro,1988,4.5
Us,2019,4.5
Get Out,2017,4
Mommy,2014,4.5
The Last Temptation of Christ,1988,4.5
The Wind Rises,2013,5
Blue Beetle,2023,3
Haunted Mansion,2023,2.5
Oppenheimer,2023,4.5
No Dogs or Italians Allowed,2022,3
Jeanne du Barry,2023,3.5
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,3
Solaris,1972,4.5
New York Stories,1989,3.5
Who's That Knocking at My Door,1967,3
Boxcar Bertha,1972,3.5
Three Colours: Blue,1993,4.5
Una commedia pericolosa,2023,1.5
Coup de Chance,2023,4
Mean Streets,1973,4
To Catch a Thief,1955,4
A Haunting in Venice,2023,3.5
The Palace,2023,3
And Then There Were None,1945,4
Asteroid City,2023,4
You've Got Mail,1998,3.5
Talk to Me,2022,3
Ossessione,1943,2.5
Men,2022,4.5
DogMan,2023,4
Back to the Future,1985,4
Beetlejuice,1988,4
Killers of the Flower Moon,2023,4
Five Nights at Freddy's,2023,1
Gravity,2013,3
There’s Still Tomorrow,2023,3.5
Three Colours: White,1994,4.5
The Master,2012,4
Three Colours: Red,1994,4.5
Gremlins,1984,4.5
The Commander,2023,3
Dream Scenario,2023,4
Inherent Vice,2014,4.5
Napoleon,2023,3.5
Once Upon a Time in America,1984,5
Godzilla Minus One,2023,4
Wonka,2023,4
Ferrari,2023,4
Adagio,2023,2
Howl's Moving Castle,2004,5
Porco Rosso,1992,4.5
Nausicaä of the Valley of the Wind,1984,5
Spirited Away,2001,5
The Boy and the Heron,2023,5
Possession,1981,5
Snow White and the Seven Dwarfs,1937,5
Perfect Days,2023,3.5
The Cabinet of Dr. Caligari,1920,4.5
Princess Mononoke,1997,5
The Stranger,1946,4.5
